question_type,question,answer
usage,How should Varenicline be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Varenicline ?,
dietary,What special dietary instructions should I follow with Varenicline ?,
forget a dose,What should I do if I forget a dose of Varenicline ?,
side effects,What are the side effects or risks of Varenicline ?,
storage and disposal,What should I know about storage and disposal of Varenicline ?,
emergency or overdose,What to do in case of emergency or overdose of Varenicline ?,
other information,What other information should I know about Varenicline ?,
brand names,What are the brand names of Varenicline ?,
why get vaccinated,Why get vaccinated with Varicella (Chickenpox) Vaccine ?,
indication,Who should get Varicella (Chickenpox) Vaccine and why is it prescribed ?,
contraindication,Who should not get Varicella (Chickenpox) Vaccine and what are its contraindications ?,
side effects,What are the side effects or risks of Varicella (Chickenpox) Vaccine ?,
severe reaction,What to do in case of a severe reaction to Varicella (Chickenpox) Vaccine ?,
how can i learn more,How can I learn more about Varicella (Chickenpox) Vaccine ?,
brand names,What are the brand names of Varicella (Chickenpox) Vaccine ?,
brand names of combination products,What are the brand names of combination products of Varicella (Chickenpox) Vaccine ?,
indication,Who should get Vedolizumab Injection and why is it prescribed ?,
usage,How should Vedolizumab Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Vedolizumab Injection ?,
dietary,What special dietary instructions should I follow with Vedolizumab Injection ?,
forget a dose,What should I do if I forget a dose of Vedolizumab Injection ?,
side effects,What are the side effects or risks of Vedolizumab Injection ?,
emergency or overdose,What to do in case of emergency or overdose of Vedolizumab Injection ?,
other information,What other information should I know about Vedolizumab Injection ?,
brand names,What are the brand names of Vedolizumab Injection ?,
indication,Who should get Vemurafenib and why is it prescribed ?,
usage,How should Vemurafenib be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Vemurafenib ?,
dietary,What special dietary instructions should I follow with Vemurafenib ?,
forget a dose,What should I do if I forget a dose of Vemurafenib ?,
side effects,What are the side effects or risks of Vemurafenib ?,
storage and disposal,What should I know about storage and disposal of Vemurafenib ?,
emergency or overdose,What to do in case of emergency or overdose of Vemurafenib ?,
other information,What other information should I know about Vemurafenib ?,
brand names,What are the brand names of Vemurafenib ?,
important warning,What important warning or information should I know about Venlafaxine ?,
indication,Who should get Venlafaxine and why is it prescribed ?,
usage,How should Venlafaxine be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Venlafaxine ?,
dietary,What special dietary instructions should I follow with Venlafaxine ?,
forget a dose,What should I do if I forget a dose of Venlafaxine ?,
side effects,What are the side effects or risks of Venlafaxine ?,
storage and disposal,What should I know about storage and disposal of Venlafaxine ?,
emergency or overdose,What to do in case of emergency or overdose of Venlafaxine ?,
other information,What other information should I know about Venlafaxine ?,
brand names,What are the brand names of Venlafaxine ?,
indication,Who should get Verapamil and why is it prescribed ?,
usage,How should Verapamil be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Verapamil ?,
dietary,What special dietary instructions should I follow with Verapamil ?,
forget a dose,What should I do if I forget a dose of Verapamil ?,
side effects,What are the side effects or risks of Verapamil ?,
storage and disposal,What should I know about storage and disposal of Verapamil ?,
emergency or overdose,What to do in case of emergency or overdose of Verapamil ?,
other information,What other information should I know about Verapamil ?,
brand names,What are the brand names of Verapamil ?,
brand names of combination products,What are the brand names of combination products of Verapamil ?,
indication,Who should get Verteporfin Injection and why is it prescribed ?,
usage,How should Verteporfin Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Verteporfin Injection ?,
dietary,What special dietary instructions should I follow with Verteporfin Injection ?,
side effects,What are the side effects or risks of Verteporfin Injection ?,
emergency or overdose,What to do in case of emergency or overdose of Verteporfin Injection ?,
other information,What other information should I know about Verteporfin Injection ?,
brand names,What are the brand names of Verteporfin Injection ?,
important warning,What important warning or information should I know about Vigabatrin ?,
indication,Who should get Vigabatrin and why is it prescribed ?,
usage,How should Vigabatrin be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Vigabatrin ?,
