question_type,question,answer
outlook,What is the outlook for Retropharyngeal abscess ?,
complications,What are the complications of Retropharyngeal abscess ?,
when to contact a medical professional,Do I need to see a doctor for Retropharyngeal abscess ?,
prevention,How to prevent Retropharyngeal abscess ?,
information,What is (are) Retrosternal thyroid surgery ?,
information,What is (are) Retrosternal thyroid surgery ?,
susceptibility,Who is at risk for Retrosternal thyroid surgery? ?,
outlook,What is the outlook for Retrosternal thyroid surgery ?,
information,Do you have information about Retroversion of the uterus,
information,What is (are) Rett syndrome ?,
causes,What causes Rett syndrome ?,
symptoms,What are the symptoms of Rett syndrome ?,
exams and tests,How to diagnose Rett syndrome ?,
treatment,What are the treatments for Rett syndrome ?,
support groups,Where to find support for people with Rett syndrome ?,
outlook,What is the outlook for Rett syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Rett syndrome ?,
information,What is (are) Returning to sports after a back injury ?,
information,What is (are) Reye syndrome ?,
causes,What causes Reye syndrome ?,
symptoms,What are the symptoms of Reye syndrome ?,
exams and tests,How to diagnose Reye syndrome ?,
treatment,What are the treatments for Reye syndrome ?,
outlook,What is the outlook for Reye syndrome ?,
complications,What are the complications of Reye syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Reye syndrome ?,
prevention,How to prevent Reye syndrome ?,
information,What is (are) Reye syndrome - resources ?,
information,What is (are) Rh incompatibility ?,
causes,What causes Rh incompatibility ?,
symptoms,What are the symptoms of Rh incompatibility ?,
exams and tests,How to diagnose Rh incompatibility ?,
treatment,What are the treatments for Rh incompatibility ?,
outlook,What is the outlook for Rh incompatibility ?,
complications,What are the complications of Rh incompatibility ?,
when to contact a medical professional,Do I need to see a doctor for Rh incompatibility ?,
prevention,How to prevent Rh incompatibility ?,
information,What is (are) Rhabdomyolysis ?,
causes,What causes Rhabdomyolysis ?,
symptoms,What are the symptoms of Rhabdomyolysis ?,
exams and tests,How to diagnose Rhabdomyolysis ?,
treatment,What are the treatments for Rhabdomyolysis ?,
outlook,What is the outlook for Rhabdomyolysis ?,
complications,What are the complications of Rhabdomyolysis ?,
when to contact a medical professional,Do I need to see a doctor for Rhabdomyolysis ?,
prevention,How to prevent Rhabdomyolysis ?,
information,What is (are) Rhabdomyosarcoma ?,
causes,What causes Rhabdomyosarcoma ?,
symptoms,What are the symptoms of Rhabdomyosarcoma ?,
exams and tests,How to diagnose Rhabdomyosarcoma ?,
treatment,What are the treatments for Rhabdomyosarcoma ?,
support groups,Where to find support for people with Rhabdomyosarcoma ?,
outlook,What is the outlook for Rhabdomyosarcoma ?,
complications,What are the complications of Rhabdomyosarcoma ?,
when to contact a medical professional,Do I need to see a doctor for Rhabdomyosarcoma ?,
information,What is (are) Rheumatic fever ?,
causes,What causes Rheumatic fever ?,
symptoms,What are the symptoms of Rheumatic fever ?,
exams and tests,How to diagnose Rheumatic fever ?,
treatment,What are the treatments for Rheumatic fever ?,
outlook,What is the outlook for Rheumatic fever ?,
complications,What are the complications of Rheumatic fever ?,
when to contact a medical professional,Do I need to see a doctor for Rheumatic fever ?,
prevention,How to prevent Rheumatic fever ?,
information,What is (are) Rheumatoid arthritis ?,
causes,What causes Rheumatoid arthritis ?,
symptoms,What are the symptoms of Rheumatoid arthritis ?,
exams and tests,How to diagnose Rheumatoid arthritis ?,
treatment,What are the treatments for Rheumatoid arthritis ?,
support groups,Where to find support for people with Rheumatoid arthritis ?,
outlook,What is the outlook for Rheumatoid arthritis ?,
complications,What are the complications of Rheumatoid arthritis ?,
when to contact a medical professional,Do I need to see a doctor for Rheumatoid arthritis ?,
prevention,How to prevent Rheumatoid arthritis ?,
information,Do you have information about Rheumatoid factor (RF),
information,What is (are) Rheumatoid lung disease ?,
causes,What causes Rheumatoid lung disease ?,
symptoms,What are the symptoms of Rheumatoid lung disease ?,
exams and tests,How to diagnose Rheumatoid lung disease ?,
treatment,What are the treatments for Rheumatoid lung disease ?,
outlook,What is the outlook for Rheumatoid lung disease ?,
complications,What are the complications of Rheumatoid lung disease ?,
when to contact a medical professional,Do I need to see a doctor for Rheumatoid lung disease ?,
information,What is (are) Rhinophyma ?,
causes,What causes Rhinophyma ?,
symptoms,What are the symptoms of Rhinophyma ?,
exams and tests,How to diagnose Rhinophyma ?,
treatment,What are the treatments for Rhinophyma ?,
outlook,What is the outlook for Rhinophyma ?,
complications,What are the complications of Rhinophyma ?,
when to contact a medical professional,Do I need to see a doctor for Rhinophyma ?,
information,Do you have information about Rhinoplasty,
information,Do you have information about Rhubarb leaves poisoning,
information,What is (are) Rib fracture - aftercare ?,
information,What is (are) Rib fracture - aftercare ?,
outlook,What is the outlook for Rib fracture - aftercare ?,
when to contact a medical professional,Do I need to see a doctor for Rib fracture - aftercare ?,
information,What is (are) Ribcage pain ?,
considerations,What to do for Ribcage pain ?,
causes,What causes Ribcage pain ?,
considerations,What to do for Ribcage pain ?,
when to contact a medical professional,Do I need to see a doctor for Ribcage pain ?,
outlook,What is the outlook for Ribcage pain ?,
information,Do you have information about Riboflavin,
information,What is (are) Rickets ?,
causes,What causes Rickets ?,
symptoms,What are the symptoms of Rickets ?,
exams and tests,How to diagnose Rickets ?,
treatment,What are the treatments for Rickets ?,
outlook,What is the outlook for Rickets ?,
complications,What are the complications of Rickets ?,
when to contact a medical professional,Do I need to see a doctor for Rickets ?,
prevention,How to prevent Rickets ?,
information,What is (are) Rickettsial pox ?,
causes,What causes Rickettsial pox ?,
symptoms,What are the symptoms of Rickettsial pox ?,
exams and tests,How to diagnose Rickettsial pox ?,
treatment,What are the treatments for Rickettsial pox ?,
outlook,What is the outlook for Rickettsial pox ?,
complications,What are the complications of Rickettsial pox ?,
when to contact a medical professional,Do I need to see a doctor for Rickettsial pox ?,
prevention,How to prevent Rickettsial pox ?,
information,Do you have information about Right heart ventriculography,
information,What is (are) Riley-Day syndrome ?,
causes,What causes Riley-Day syndrome ?,
symptoms,What are the symptoms of Riley-Day syndrome ?,
exams and tests,How to diagnose Riley-Day syndrome ?,
treatment,What are the treatments for Riley-Day syndrome ?,
outlook,What is the outlook for Riley-Day syndrome ?,
complications,What are the complications of Riley-Day syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Riley-Day syndrome ?,
prevention,How to prevent Riley-Day syndrome ?,
information,What is (are) Ringworm ?,
causes,What causes Ringworm ?,
information,What is (are) Risks of hip and knee replacement ?,
susceptibility,Who is at risk for Risks of hip and knee replacement? ?,
susceptibility,Who is at risk for Risks of hip and knee replacement? ?,
information,Do you have information about Risks of tobacco,
information,Do you have information about Risks of underage drinking,
information,Do you have information about Robotic surgery,
information,What is (are) Rocky Mountain spotted fever ?,
causes,What causes Rocky Mountain spotted fever ?,
symptoms,What are the symptoms of Rocky Mountain spotted fever ?,
exams and tests,How to diagnose Rocky Mountain spotted fever ?,
treatment,What are the treatments for Rocky Mountain spotted fever ?,
outlook,What is the outlook for Rocky Mountain spotted fever ?,
complications,What are the complications of Rocky Mountain spotted fever ?,
when to contact a medical professional,Do I need to see a doctor for Rocky Mountain spotted fever ?,
prevention,How to prevent Rocky Mountain spotted fever ?,
information,Do you have information about Root canal,
information,What is (are) Rosacea ?,
causes,What causes Rosacea ?,
symptoms,What are the symptoms of Rosacea ?,
exams and tests,How to diagnose Rosacea ?,
treatment,What are the treatments for Rosacea ?,
outlook,What is the outlook for Rosacea ?,
complications,What are the complications of Rosacea ?,
information,What is (are) Roseola ?,
causes,What causes Roseola ?,
symptoms,What are the symptoms of Roseola ?,
exams and tests,How to diagnose Roseola ?,
treatment,What are the treatments for Roseola ?,
complications,What are the complications of Roseola ?,
when to contact a medical professional,Do I need to see a doctor for Roseola ?,
prevention,How to prevent Roseola ?,
information,Do you have information about Rotator cuff - self-care,
information,Do you have information about Rotator cuff exercises,
